id,escena,esto,aquello
pantalla_0,Cocina de Titanes
pantalla_1, Sinopsis
pantalla_2,Jean acepta el reto,Ir solo
pantalla_3,Ir solo
pantalla_4,Ir con Annie y Armin
pantalla_5,Seguir rastro de los árboles
pantalla_6,Mini Juego,Ganar,Perder
pantalla_7,Gana,Cocinar el jabalí
pantalla_8,Pierde,Cocinar omelette
pantalla_9,Cocinar al jabalí,Bien cocido,A punto
pantalla_10,Cocinar omelette,Con papas,Sin papas
pantalla_11,Quedan bien ambos platos
pantalla_12,El plato queda bien
pantalla_13,Omelette con papas
pantalla_14,Omelette sin papas
pantalla_15,Pixis declara un empate
pantalla_16,A Pixis le gusta y gana Jean
pantalla_17,A Pixis no le gusta y gana Sasha
pantalla_18, Créditos, Lucia Amatriain Legajo: 93456/8, Sofia Rotolli Legajo: 94732/6


  
